[2025-05-13T13:55:13.179Z] User ID: {3}, Username undefined
[2025-05-13T13:55:46.247Z] User ID: {3}, Username Lenon
[2025-05-13T18:24:36.804Z] User ID: {3}, Username Lenon
[2025-05-13T18:25:16.818Z] User ID: {3}, Username Lenon
[2025-05-13T18:25:31.149Z] User ID: {3}, Username Lenon
[2025-05-14T11:56:20.123Z] User ID: {3}, Username Lenon
[2025-05-14T11:56:21.642Z] User ID: {3}, Username Lenon
[2025-05-14T11:56:22.797Z] User ID: {3}, Username Lenon
[2025-05-14T11:56:23.904Z] User ID: {3}, Username Lenon
[2025-05-14T11:56:24.982Z] User ID: {3}, Username Lenon
[2025-05-14T11:56:26.032Z] User ID: {3}, Username Lenon
[2025-05-14T11:56:27.087Z] User ID: {3}, Username Lenon
[2025-05-14T11:56:28.197Z] User ID: {3}, Username Lenon
[2025-05-14T11:56:29.227Z] User ID: {3}, Username Lenon
[2025-05-14T11:56:30.235Z] User ID: {3}, Username Lenon
[2025-05-14T11:56:31.182Z] User ID: {3}, Username Lenon
[2025-05-14T11:56:32.122Z] User ID: {3}, Username Lenon
[2025-05-14T11:56:50.971Z] User ID: {3}, Username Lenon
[2025-05-14T11:56:51.542Z] User ID: {3}, Username Lenon
[2025-05-14T11:56:52.098Z] User ID: {3}, Username Lenon
[2025-05-14T11:56:52.598Z] User ID: {3}, Username Lenon
[2025-05-14T11:57:56.440Z] User ID: {3}, Username Lenon
[2025-05-14T11:57:56.833Z] User ID: {3}, Username Lenon
[2025-05-14T11:57:57.260Z] User ID: {3}, Username Lenon
[2025-05-14T11:57:59.001Z] User ID: {3}, Username Lenon
[2025-05-14T11:57:59.452Z] User ID: {3}, Username Lenon
[2025-05-14T11:58:00.621Z] User ID: {3}, Username Lenon
[2025-05-14T11:58:01.149Z] User ID: {3}, Username Lenon
[2025-05-14T11:58:01.566Z] User ID: {3}, Username Lenon
[2025-05-14T11:58:02.002Z] User ID: {3}, Username Lenon
[2025-05-14T11:58:04.268Z] User ID: {3}, Username Lenon
[2025-05-14T11:58:05.103Z] User ID: {3}, Username Lenon
[2025-05-14T11:58:05.739Z] User ID: {3}, Username Lenon
[2025-05-14T11:58:33.500Z] User ID: {3}, Username Lenon
[2025-05-14T11:58:34.709Z] User ID: {3}, Username Lenon
[2025-05-14T11:58:35.132Z] User ID: {3}, Username Lenon
[2025-05-14T11:58:36.148Z] User ID: {3}, Username Lenon
[2025-05-14T11:58:36.558Z] User ID: {3}, Username Lenon
[2025-05-14T11:58:37.288Z] User ID: {3}, Username Lenon
[2025-05-14T11:58:37.757Z] User ID: {3}, Username Lenon
[2025-05-14T11:58:38.180Z] User ID: {3}, Username Lenon
[2025-05-14T11:58:38.935Z] User ID: {3}, Username Lenon
[2025-05-14T12:37:52.028Z] User ID: {3}, Username Lenon
[2025-05-14T12:37:52.040Z] User ID: {3}, Username Lenon
[2025-05-14T12:37:54.063Z] User ID: {3}, Username Lenon
[2025-05-14T12:37:54.065Z] User ID: {3}, Username Lenon
[2025-05-14T12:38:32.050Z] User ID: {3}, Username Lenon
[2025-05-14T12:38:32.061Z] User ID: {3}, Username Lenon
[2025-05-14T12:38:33.452Z] User ID: {3}, Username Lenon
[2025-05-14T12:38:33.455Z] User ID: {3}, Username Lenon
[2025-05-14T12:39:29.295Z] User ID: {3}, Username Lenon
[2025-05-14T12:39:29.307Z] User ID: {3}, Username Lenon
[2025-05-14T12:39:31.386Z] User ID: {3}, Username Lenon
[2025-05-14T12:39:31.389Z] User ID: {3}, Username Lenon
[2025-05-14T12:42:20.756Z] User ID: {3}, Username Lenon
[2025-05-14T12:42:20.764Z] User ID: {3}, Username Lenon
[2025-05-14T12:42:22.839Z] User ID: {3}, Username Lenon
[2025-05-14T12:42:22.841Z] User ID: {3}, Username Lenon
[2025-05-14T12:42:24.441Z] User ID: {3}, Username Lenon
[2025-05-14T12:42:24.450Z] User ID: {3}, Username Lenon
